title,date,image_webp,image,external_link
'AIGCxHangzhou|杭州AIGC产业联盟启动并发起「涌现・AIGC产业应用沙龙」品牌',2023-06-29T00:00:00+00:00,'0629.webp','0629.jpg','https://mp.weixin.qq.com/s/htj8yFn5S6-q5nRQlMX3cw'
'AIGCxChangsha|长沙AIGC产业联盟启动！',2023-06-26T00:00:00+00:00,'0626.webp','0626.jpg','https://mp.weixin.qq.com/s/pq10Mabtthlw7pudDq4aBw'
'AIGCxWenzhou|探索AIGC+商贸业的未来',2023-06-21T00:00:00+00:00,'0621.webp','0621.jpg','https://mp.weixin.qq.com/s/vzzbaAPov_lP0dt9ECclOg'
'AIGCxNingbo|宁波AIGC产业联盟启动！',2023-06-20T00:00:00+00:00,'0620.webp','0621.jpg','https://mp.weixin.qq.com/s/4XraPgxx3WtOwyt3dbUDkQ'
'AIGCxWenzhou|温州AIGC应用案例分享活动来了',2023-06-19T00:00:00+00:00,'0619.webp','0619.jpg','https://mp.weixin.qq.com/s/OVm-3LzBrvQBfAtxrfOZHg'
'AIGCxChina|每日寄语栏目开通',2023-06-17T00:00:00+00:00,'0617.webp','0617.jpg','https://mp.weixin.qq.com/s/xXbChpkcNY5dZGISqUx0xw'
'AIGCxHuoshui|北上广深搭建活水AIGC城市群，开展AI阅读课线下分享会活动',2023-06-13T00:00:00+00:00,'0613.webp','0613.jpg','https://mp.weixin.qq.com/s/XPfb8kaJOPrhEnFxesZv2A'
'AIGCxChina|全球人工智能技术大会观察报告：2年内AIGC将落地50%+行业核心场景',2023-06-12T00:00:00+00:00,'0612.webp','0612.jpg','https://mp.weixin.qq.com/s/37q0ZtOj6UAqmZJm0MZLbA'
'AIGCxChina|中国AIGC产业联盟大会胜利召开！温州领衔，国内城市30强半数跟进！',2023-06-10T00:00:00+00:00,'0610.webp','0610.jpg','https://mp.weixin.qq.com/s/SnH-VisgoaMdOUHwfX8ZXA'


